SKU,FD1ToFD14Units,ML14DayForecastUnits,Recent14DayUnits,SelectedByMLThreshold,RecentFallbackWeight
58660-4SK-S,69,69.4743619760346,170.8725816820642,True,0.0
80441-A91-110,69,69.3811388991608,88.4428465304526,True,0.0
82301-990-60,69,68.71070052958162,0.0,True,0.0
84159-5KC-80,69,69.47029553193859,6.514203993744384,True,0.0
84460-5ZU-100,69,69.14223205880022,184.90317489935984,True,0.0
84638-68I-100,69,68.83406044158266,58.62783594369946,True,0.0
43205-GK3-100,68,67.6589099714905,90.94830960496967,True,0.0
45346-5HB-130,68,68.08742568672943,162.10346092125448,True,0.0
45346-5HB-90,68,67.87976629254553,92.7021337571316,True,0.0
82603-6HK-150,68,67.6015480724901,36.83030719540094,True,0.0
82778-5SQ-130,68,67.54025764160309,79.17263315473944,True,0.0
83403-4KH-80,68,67.59306540361577,0.0,True,0.0
84082-6DC-130,68,68.34905854824427,127.02697787801549,True,0.0
84433-66J-90,68,68.34341846500689,87.44066130064576,True,0.0
84433-6GT-85,68,68.47357717745066,24.302991822815585,True,0.0
84460-61J-100,68,67.78869147606812,154.33652539025155,True,0.0
43205-011-120,67,66.79071736638274,86.68902237829064,True,0.0
65642-5LG-90,67,66.73554464815493,123.76987588114329,True,0.0
80581-177-XXL,67,66.98502594190674,0.0,True,0.0
82778-5HO-120,67,67.17668300081434,121.01386649917453,True,0.0
82778-5HO-90,67,66.74026931916052,75.91553115786724,True,0.0
83403-3RE-75,67,66.63449835064375,0.0,True,0.0
84082-6DC-120,67,67.21542033586422,139.80483955805255,True,0.0
84338-5VS-120,67,67.19255001670305,12.02622275768194,True,0.0
84434-65K-110,67,67.40671700550314,67.89804931941262,True,0.0
84434-65Z-140,67,66.73554464815493,88.6933928379043,True,0.0
84434-66I-110,67,67.26407008068054,103.72617128500673,True,0.0
84434-6BL-130,67,67.40497112733668,70.40351239392969,True,0.0
84528-1SA-140,67,66.99691893586743,35.82812196559411,True,0.0
84606-5ZU-120,67,66.99691893586743,70.65405870138139,True,0.0
45346-5HR-120,66,65.53089952983062,157.09253477222035,True,0.0
58661-4PX-M,66,66.43629356065024,113.4974772756233,True,0.0
58662-4O4-M,66,65.74151969822009,81.4275499218048,True,0.0
80617-65Z-75,66,65.51403919414588,163.35619245851302,True,0.0
82719-6GW-100,66,65.8157260023971,39.83686288482143,True,0.0
84275-5XP-75,66,65.89453759191069,0.0,True,0.0
84428-6GE-110,66,66.2304209187235,91.4494022198731,True,0.0
84428-6GQ-140,66,66.13257423500866,64.64094732254041,True,0.0
84434-6AT-120,66,65.92186807577536,95.20759683164869,True,0.0
84514-6DS-130,66,65.92022759762418,33.823751505980454,True,0.0
50764-4SV-XL,65,65.47999369412564,25.305177052622415,True,0.0
65642-5LK-90,65,65.23468637637876,126.02479264820866,True,0.0
67515-4NA-XS,65,64.92345928576776,25.55572336007412,True,0.0
67521-1QP-150,65,64.55710347288887,0.0,True,0.0
82717-5XF-75,65,65.28502390120047,69.15078085667116,True,0.0
82717-5XY-75,65,64.9474867986112,98.7152451359726,True,0.0
82776-5XV-120,65,65.24567640037111,107.48436589678234,True,0.0
83120-1SD-130,65,65.00317881932496,0.0,True,0.0
84329-5MZ-110,65,65.43350433400428,41.590687036983375,True,0.0
84337-5VR-100,65,65.38339800905896,6.263657686292677,True,0.0
84434-6BL-150,65,65.05193608290833,52.36417825740678,True,0.0
50764-4SV-M,64,64.02974872566979,39.0852239624663,True,0.0
58661-4SK-S,64,63.55257475147932,65.64313255234725,True,0.0
67526-1JA-100,64,64.17606817589224,0.0,True,0.0
80441-A91-130,64,64.39243276854822,89.94612437516284,True,0.0
80649-442-140,64,63.87058645002586,0.0,True,0.0
82718-65Z-110,64,64.29516768204849,39.33577026991801,True,0.0
82731-5XA-75,64,63.830126279275206,73.41006808335017,True,0.0
82788-6DC-140,64,64.26842736075214,32.0699273538185,True,0.0
82891-1SA-130,64,63.71886655517488,51.863085642503364,True,0.0
83404-2ZC-75,64,63.72368951874773,70.65405870138139,True,0.0
83490-4KV-75,64,63.75911602484634,0.0,True,0.0
83843-4VP-140,64,64.03878586212912,0.0,True,0.0
84082-6GS-120,64,63.91310142040961,119.76113496191599,True,0.0
84090-5KP-130,64,63.91310142040961,114.75020881288185,True,0.0
84428-6GE-130,64,64.38736965368216,44.34669641895215,True,0.0
84434-6BL-110,64,64.25786679106186,61.38384532566823,True,0.0
84495-5ZG-90,64,63.919961526514534,29.063371664398023,True,0.0
84635-5ZN-80,64,64.1386631202954,9.270213375713162,True,0.0
43205-SR4-100,63,62.91714779152498,84.18355930377358,True,0.0
43205-SR4-130,63,63.21911317366312,88.19230022300088,True,0.0
64336-GK3-1Y/3Y,63,62.609740355024435,52.36417825740678,True,0.0
80278-2XV-120,63,63.24980987627762,0.0,True,0.0
81380-4DT-120,63,63.02164232770643,31.06774212401168,True,0.0
81718-1SA-150,63,62.8614929940289,18.03933413652291,True,0.0
81718-6GT-85,63,62.989589911690885,38.58413134756289,True,0.0
81766-1QH-140,63,63.435403507367255,43.845603804048736,True,0.0
81862-2B2-90,63,63.220783740907514,0.0,True,0.0
82473-2ZS-90,63,62.85656572557843,0.0,True,0.0
82717-6DC-70,63,63.18605767491541,108.23600481913746,True,0.0
82719-5XD-140,63,63.41259470808527,41.84123334443508,True,0.0
82719-6GW-130,63,62.57709174139873,42.84341857424191,True,0.0
82723-6CY-110,63,62.96889902943404,27.560093819687776,True,0.0
82777-5HB-130,63,62.597134166037534,54.36854871702044,True,0.0
82778-5HO-130,63,62.61048007268958,90.94830960496967,True,0.0
83403-4KH-60,63,62.68220962097807,0.0,True,0.0
84082-6DC-110,63,62.789584643598666,104.97890282226527,True,0.0
84155-5KB-75,63,62.96160713892771,37.83249242520777,True,0.0
84426-6GT-50,63,63.263191424303926,23.80189920791217,True,0.0
84434-66I-130,63,63.11939887301103,105.22944912971697,True,0.0
84460-5ZU-90,63,62.66285498156407,149.82669185612085,True,0.0
84505-61O-120,63,62.74193923004984,103.97671759245844,True,0.0
84619-1WC-120,63,63.074855519397516,73.41006808335017,True,0.0
84619-1WC-130,63,63.074855519397516,67.1464103970575,True,0.0
84646-6FN-75,63,63.32723260847621,70.15296608647797,True,0.0
43205-SR4-150,62,61.71951772636453,44.84778903385557,True,0.0
58663-4T4-M,62,61.56910488598591,90.44721699006625,True,0.0
81616-1SL-140,62,62.367465508394844,0.0,True,0.0
82572-4AE-120,62,61.93498317651026,25.305177052622415,True,0.0
82662-5NH-70,62,61.86282040253757,9.019667068261455,True,0.0
