SKU,DirectPickLookbackUnits,DirectPickDemandDays,DailyBaseUnits,WeeklyBaseUnits,ValidReservationUnits,ReservationPhysicalTotal,ReservationSalesAllocatedPhysicalTotal,InboundTotalUnits,InboundNext14Units,InboundNext30Units,HasDirectPickHistory,HasValidReservation,HasInbound,Future14DayPromoDays,FutureWeeklyPromoWeeks,HasFuturePromo,FD1ToFD14Units,First13WeekUnits
33175-011-110,13.0,10.0,0.23214285714285715,1.625,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,9,41.5
33175-011-120,20.0,16.0,0.35714285714285715,2.5,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,11,52.0
33175-011-130,44.0,25.0,0.7857142857142857,5.5,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,16,88.0
33175-011-140,93.0,28.0,1.6607142857142858,11.625,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,26,161.5
33175-011-150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,6,22.0
33175-011-160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,6,22.0
33175-011-85,7.0,6.0,0.125,0.875,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,8,32.5
33175-011-90,9.0,8.0,0.16071428571428573,1.125,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,8,35.5
33175-145-100,39.0,27.0,0.6964285714285714,4.875,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,15,82.5
33175-145-110,37.0,23.0,0.6607142857142857,4.625,1.0,1.0,0.0,0.0,0.0,0.0,True,True,False,2,1,True,15,79.5
33175-145-120,63.0,30.0,1.125,7.875,3.0,2.0,1.0,0.0,0.0,0.0,True,True,False,2,1,True,20,118.5
33175-145-130,26.0,8.0,0.4642857142857143,3.25,2.0,1.0,1.0,0.0,0.0,0.0,True,True,False,2,1,True,12,63.0
33175-145-140,36.0,10.0,0.6428571428571429,4.5,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,14,78.0
33175-145-150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,7,24.0
33175-145-160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,7,24.0
33175-145-85,18.0,11.0,0.32142857142857145,2.25,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,11,51.0
33175-145-90,29.0,18.0,0.5178571428571429,3.6250000000000004,6.0,3.0,3.0,0.0,0.0,0.0,True,True,False,2,1,True,13,67.5
33175-16N-150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33175-16N-85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33175-1AY-100,27.0,18.0,0.48214285714285715,3.375,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,13,65.5
33175-1AY-110,31.0,24.0,0.5535714285714286,3.875,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,14,71.5
33175-1AY-120,32.0,20.0,0.5714285714285714,4.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,14,73.0
33175-1AY-130,51.0,30.0,0.9107142857142857,6.375,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,18,101.5
33175-1AY-140,5.0,4.0,0.08928571428571429,0.625,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,8,32.5
33175-1AY-150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,7,25.0
33175-1AY-160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,7,25.0
33175-1AY-85,26.0,17.0,0.4642857142857143,3.25,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,13,64.0
33175-1AY-90,45.0,28.0,0.8035714285714286,5.625,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,17,92.5
33175-1FL-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,5,17.0
33175-1FL-110,40.0,26.0,0.7142857142857143,5.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,13,77.0
33175-1FL-120,25.0,17.0,0.44642857142857145,3.125,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,10,54.5
33175-1FL-130,19.0,13.0,0.3392857142857143,2.375,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,9,45.5
33175-1FL-140,21.0,15.0,0.375,2.625,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,9,48.5
33175-1FL-150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,5,17.0
33175-1FL-160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,5,17.0
33175-1FL-85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,5,17.0
33175-1FL-90,54.0,26.0,0.9642857142857143,6.75,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,16,98.0
33175-QE4-120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33175-S74-100,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,False,True,False,0,0,False,2,2.0
33175-S74-110,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,True,False,0,0,False,1,1.0
33175-S74-120,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,True,False,0,0,False,1,1.0
