SKU,LoadMaxQty,InFwdDemandCSV
58661-3GI-XS,90.0,False
58661-3GJ-L,60.0,False
58661-3GJ-M,70.0,False
58661-3GJ-S,87.0,False
58661-3GJ-XL,52.0,False
58661-3GJ-XS,90.0,False
58661-521-L,60.0,False
58661-521-M,70.0,False
58661-521-S,80.0,False
58661-521-XL,53.0,False
58661-521-XS,78.0,False
58662-1MT-L,50.0,False
58662-1MT-M,60.0,False
58662-1MT-XL,45.0,False
58662-2RA-L,50.0,False
58662-2RA-M,61.0,False
58662-2RA-S,71.0,False
58662-2RA-XL,24.0,False
58662-2RA-XS,75.0,False
58662-3GA-L,52.0,False
58662-3GA-M,60.0,False
58662-3GA-S,70.0,False
58662-3GA-XL,29.0,False
58662-3GA-XS,75.0,False
58662-3GF-L,51.0,False
58662-3GF-M,60.0,False
58662-3GF-S,73.0,False
58662-3GF-XL,30.0,False
58662-3GF-XS,78.0,False
58662-3GG-L,55.0,False
58662-3GG-M,67.0,False
58662-3GG-S,71.0,False
58662-3GG-XL,40.0,False
58662-3GG-XS,46.0,False
58662-522-L,50.0,False
58662-522-M,62.0,False
58662-522-S,70.0,False
58662-522-XL,45.0,False
58662-522-XS,41.0,False
58662-524-L,50.0,False
58662-524-M,60.0,False
58662-524-S,70.0,False
58662-524-XL,45.0,False
58662-524-XS,30.0,False
58663-2RB-L,50.0,False
58663-2RB-M,60.0,False
58663-2RB-S,70.0,False
58663-2RB-XL,45.0,False
58663-2RB-XS,34.0,False
58663-3GH-L,50.0,False
58663-3GH-M,64.0,False
58663-3GH-S,70.0,False
58663-3GH-XL,48.0,False
58663-3GH-XS,56.0,False
58663-525-L,50.0,False
58663-525-M,60.0,False
58663-525-S,70.0,False
58663-525-XL,47.0,False
58663-525-XS,56.0,False
58663-WS1-L,50.0,False
58663-WS1-M,60.0,False
58663-WS1-S,70.0,False
