SKU,Velocity_Old,Velocity_New,SlotTier_Old,SlotTier_New,ProductGroupCode_Old,ProductGroupCode_New,SizeGroupCode_Old,SizeGroupCode_New,FD14_Old,FD14_New,FD14Delta,RankDelta,PutawayIndicator_Old,PutawayIndicator_New
37028-6OA-140,A,AA,KUSLA,KUSLAA,KUS,KUS,L,L,0,0,0,1,0,0
50754-71J-L,A,AA,KUNLA,KUNLAA,KUN,KUN,L,L,0,0,0,1,0,0
50754-7AX-L,A,AA,KUNLA,KUNLAA,KUN,KUN,L,L,0,0,0,1,0,0
50764-6ZU-S,A,AA,KUNSA,KUNSAA,KUN,KUN,S,S,0,0,0,1,0,0
50764-6ZZ-M,A,AA,KUNMA,KUNMAA,KUN,KUN,M,M,0,0,0,1,0,0
52399-76X-L,B,A,ASLLB,ASLLA,ASL,ASL,L,L,0,0,0,1,0,0
52399-76X-M,B,A,ASLMB,ASLMA,ASL,ASL,M,M,0,0,0,1,0,0
52399-76X-S,C,B,ASLSC,ASLSB,ASL,ASL,S,S,0,0,0,1,0,0
52399-76X-XL,C,B,ASLLC,ASLLB,ASL,ASL,L,L,0,0,0,1,0,0
58660-6ZY-XS,A,AA,KUNXA,KUNXAA,KUN,KUN,X,X,0,0,0,1,0,0
58661-6ZY-S,A,AA,KUNSA,KUNSAA,KUN,KUN,S,S,0,0,0,1,0,0
58663-6ZT-XS,C,B,KUNXC,KUNXB,KUN,KUN,X,X,0,0,0,1,0,0
58663-70K-XS,A,AA,KUNXA,KUNXAA,KUN,KUN,X,X,0,0,0,1,0,0
59845-2BX-XL,C,B,ASLLC,ASLLB,ASL,ASL,L,L,0,0,0,1,0,0
59852-2C2-110,A,AA,KUSSA,KUSSAA,KUS,KUS,S,S,0,0,0,1,0,0
59852-2C2-85,A,AA,KUSXA,KUSXAA,KUS,KUS,X,X,0,0,0,1,0,0
60363-5LR-140,C,B,GIRLC,GIRLB,GIR,GIR,L,L,0,0,0,1,0,0
62373-PG5-140,B,A,COLLB,COLLA,COL,COL,L,L,0,0,0,1,0,0
62373-PG5-150,A,AA,COLLA,COLLAA,COL,COL,L,L,0,0,0,1,0,0
66826-UZ1-130,A,AA,COLMA,COLMAA,COL,COL,M,M,0,0,0,1,0,0
66930-6YH-50,B,A,BAPIB,BAPIA,BAP,BAP,I,I,0,0,0,1,0,0
66930-6YH-60,A,AA,BAPIA,BAPIAA,BAP,BAP,I,I,0,0,0,1,0,0
66930-6YH-70,A,AA,BAPIA,BAPIAA,BAP,BAP,I,I,0,0,0,1,0,0
66930-6YH-75,A,AA,BAPIA,BAPIAA,BAP,BAP,I,I,0,0,0,1,0,0
66930-6YH-80,A,AA,BAPXA,BAPXAA,BAP,BAP,X,X,0,0,0,1,0,0
66930-6YH-90,A,AA,BAPXA,BAPXAA,BAP,BAP,X,X,0,0,0,1,0,0
66930-6YK-50,C,B,BAPIC,BAPIB,BAP,BAP,I,I,0,0,0,1,0,0
66930-75K-60,A,AA,BAPIA,BAPIAA,BAP,BAP,I,I,0,0,0,1,0,0
66930-75K-85,A,AA,BAPXA,BAPXAA,BAP,BAP,X,X,0,0,0,1,0,0
66934-6KS-80,B,A,BAPXB,BAPXA,BAP,BAP,X,X,0,0,0,1,0,0
66934-6KS-90,C,B,BAPXC,BAPXB,BAP,BAP,X,X,0,0,0,1,0,0
66934-76X-60,B,A,BAPIB,BAPIA,BAP,BAP,I,I,0,0,0,1,0,0
66934-76X-80,B,A,BAPXB,BAPXA,BAP,BAP,X,X,0,0,0,1,0,0
66935-6KS-75,B,A,BAPIB,BAPIA,BAP,BAP,I,I,0,0,0,1,0,0
66935-76X-75,B,A,BAPIB,BAPIA,BAP,BAP,I,I,0,0,0,1,0,0
67377-181-85,A,AA,GIRXA,GIRXAA,GIR,GIR,X,X,0,0,0,1,0,0
67501-6KR-150,A,AA,BOYLA,BOYLAA,BOY,BOY,L,L,0,0,0,1,0,0
68119-7GH-130,A,AA,GIRMA,GIRMAA,GIR,GIR,M,M,0,0,0,1,0,0
68141-3KH-60,B,A,BAPIB,BAPIA,BAP,BAP,I,I,0,0,0,1,0,0
68141-3KH-90,C,B,BAPXC,BAPXB,BAP,BAP,X,X,0,0,0,1,0,0
68141-6KS-60,B,A,BAPIB,BAPIA,BAP,BAP,I,I,0,0,0,1,0,0
68141-6KS-70,A,AA,BAPIA,BAPIAA,BAP,BAP,I,I,0,0,0,1,0,0
68141-6KS-75,A,AA,BAPIA,BAPIAA,BAP,BAP,I,I,0,0,0,1,0,0
68141-6KS-85,B,A,BAPXB,BAPXA,BAP,BAP,X,X,0,0,0,1,0,0
68141-6PH-70,A,AA,BAPIA,BAPIAA,BAP,BAP,I,I,0,0,0,1,0,0
68141-6PH-75,A,AA,BAPIA,BAPIAA,BAP,BAP,I,I,0,0,0,1,0,0
68141-6PH-85,B,A,BAPXB,BAPXA,BAP,BAP,X,X,0,0,0,1,0,0
68141-SR4-70,A,AA,BAPIA,BAPIAA,BAP,BAP,I,I,0,0,0,1,0,0
68141-SR4-75,A,AA,BAPIA,BAPIAA,BAP,BAP,I,I,0,0,0,1,0,0
68141-SR4-85,B,A,BAPXB,BAPXA,BAP,BAP,X,X,0,0,0,1,0,0
80039-2BV-M,B,A,ASLMB,ASLMA,ASL,ASL,M,M,0,0,0,1,0,0
80039-2CK-XXL,B,A,ASLLB,ASLLA,ASL,ASL,L,L,0,0,0,1,0,0
80039-2GG-XL,B,A,ASLLB,ASLLA,ASL,ASL,L,L,0,0,0,1,0,0
