Division,Department,Class,KeyCategoryView,Sale2025Units,Baseline2025Units,Baseline2025DailyUnits,BaselineExpected2025Units,CategoryLift2025,Sale2025Share,CurrentBaselineObservedDays,CurrentBaselineDailyUnits,CurrentExpectedBy2025Lift,hybrid_ml_raw_min20_recent_w0p05,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x0p85,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p1,hybrid_ml_raw_min20_recent_w0p1,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x0p85,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p0,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p1,recent_no_ml_no_promo_floor,CurrentPromoSkuDays,CurrentPromoSKUs,CurrentMaxDiscount,CurrentAvgDiscount,CurrentPDLAvailInv,GapVsHybrid10Cap085,LiftExpectedToHybridRatio
Baby Accessories,BA hats,BA swim hat,Accessories,8.0,424.0,15.142857142857142,212.0,0.03773584905660377,1.6871586139991986e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,9.0,0.0,0.0,0.0,0.0,
Baby Accessories,BA non clothing,BA nc blankets,Accessories,258.0,278.0,9.928571428571429,139.0,1.856115107913669,0.0005441086530147415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,
Baby Accessories,BA non clothing,BA nc misc,Accessories,26.0,66.0,2.357142857142857,33.0,0.7878787878787878,5.4832654954973956e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,
Adult Sleep,S W sleepwear,S W misc,Sleep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.497425757292278,203.0,29.0,0.0,0.0,0.0,0.0,
Baby Accessories,BA hats,BA misc hat,Accessories,388.0,333.0,11.892857142857142,166.5,2.33033033033033,0.0008182719277896113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,19.0,0.0,0.0,0.0,0.0,
Adult Sleep,S W sleepwear,S W Tank John,Sleep,330.0,306.0,10.928571428571429,153.0,2.156862745098039,0.0006959529282746694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Baby Sleepwear,BS footless sleeper,BS footless solid,Sleep,1397.0,1368.0,48.857142857142854,684.0,2.0423976608187133,0.0029462007296961004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,16.0,0.0,0.0,0.0,0.0,
Adult Apparel,O unisex apparel,O unisex apparel swim,Swim,12.0,125.0,4.464285714285714,62.5,0.192,2.530737920998798e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
W Baby Apparel,WBby dress,WBby SS dress,M&B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.674059840122203,112.0,16.0,0.0,0.0,0.0,0.0,
W Baby Apparel,WBby dress,WBby SS dress,M+B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.248712878646139,35.0,5.0,0.0,0.0,0.0,0.0,
