PickYear,LocProfileId,SourceLocation,SourceZone,SKU,PickLines,DistinctOrders,PickUnits,FirstPickDate,LastPickDate,SourceSchema
2023,invalid,08-048W,Invalid,65788-EF5-5,1,1,1.0,2023-01-30,2023-01-30,DAX_Archive.arc
2022,W001,07-005W,W001,65203-VK5-XS,1,1,1.0,2022-01-12,2022-01-12,DAX_Archive.arc
2022,invalid,07-001B,Invalid,58661-NL3-XS,1,1,1.0,2022-02-17,2022-02-17,DAX_Archive.arc
2022,W001,07-082Z,W001,67216-HI2-85,2,2,2.0,2022-06-12,2022-06-15,DAX_Archive.arc
2022,invalid,27-138X,Invalid,60599-uv8-160,53,53,54.0,2022-01-03,2022-01-10,DAX_Archive.arc
2024,invalid,16-131W,Invalid,67279-659-150,17,17,18.0,2024-01-03,2024-01-17,DAX_Archive.arc
2025,W001,07-029A,W001,82484-3MZ-90,1,1,1.0,2025-04-25,2025-04-25,DAX_Archive.arc
2022,W001,07-139Y,W001,65290-M23-110,1,1,1.0,2022-01-23,2022-01-23,DAX_Archive.arc
2022,invalid,16-134Y,Invalid,67401-VX9-120,23,23,24.0,2022-06-27,2022-06-28,DAX_Archive.arc
2022,invalid,24-140B,Invalid,58661-UE3-XL,60,60,69.0,2022-01-02,2022-01-06,DAX_Archive.arc
2022,W001,07-091X,W001,47218-069-S,1,1,1.0,2022-01-17,2022-01-17,DAX_Archive.arc
2022,W001,07-104B,W001,67490-WX1-130,17,17,17.0,2022-06-25,2022-08-02,DAX_Archive.arc
2022,invalid,07-018D,Invalid,61948-WV1-XS,1,1,1.0,2022-07-27,2022-07-27,DAX_Archive.arc
2022,W001,07-091B,W001,67281-VR7-120,1,1,1.0,2022-01-16,2022-01-16,DAX_Archive.arc
2025,W001,07-124D,W001,82486-3BA-120,7,7,8.0,2025-01-27,2025-12-16,DAX_Archive.arc
2025,invalid,34-001Y,Invalid,81553-EF5-NB,54,54,54.0,2025-06-03,2025-09-27,DAX_Archive.arc
2023,invalid,18-127D,Invalid,80847-CK7-90,3,3,3.0,2023-12-27,2023-12-28,DAX_Archive.arc
2022,W001,07-045X,W001,65580-011-90,1,1,1.0,2022-01-20,2022-01-20,DAX_Archive.arc
2024,invalid,07-019A,Invalid,60310-FX9-S,11,11,11.0,2024-12-11,2024-12-12,DAX_Archive.arc
2022,W001,07-008Y,W001,67848-VX9-110,1,1,1.0,2022-05-13,2022-05-13,DAX_Archive.arc
2022,W001,07-130Z,W001,67514-WT8-S,1,1,1.0,2022-07-21,2022-07-21,DAX_Archive.arc
2022,W001,07-064W,W001,67490-SK3-85,2,2,2.0,2022-06-14,2022-06-14,DAX_Archive.arc
2022,W001,07-121Z,W001,67092-F04-130,2,2,2.0,2022-02-06,2022-02-08,DAX_Archive.arc
2022,invalid,08-048Z,Invalid,68166-GF2-S,3,3,3.0,2022-11-12,2022-11-17,DAX_Archive.arc
2022,W001,07-046W,W001,67853-WX2-90,1,1,1.0,2022-06-05,2022-06-05,DAX_Archive.arc
2022,W001,07-005W,W001,67274-VP5-110,1,1,1.0,2022-04-23,2022-04-23,DAX_Archive.arc
2022,W001,07-087Y,W001,60325-QY5-M,8,8,8.0,2022-01-07,2022-01-12,DAX_Archive.arc
