Date,SKU,SoldUnits,CorporateBaselineQty,Recent28BaselineQty,Recent7BaselineQty,HybridBaselineQty,HasAnyPromotion,Division,Department,Class,KeyCategoryView,HybridAbsError
2026-06-02,58661-4PX-L,6.0,22.0,9.892857142857142,16.428571428571427,17.82142857142857,True,Kids Unders,U G underwear,U G unders bottom,Underwear,11.82142857142857
2026-05-27,84460-6GS-110,49.0,0.0,28.107142857142858,49.57142857142857,37.17857142857143,True,Girls,G dress,G SL dress,Dress,11.82142857142857
2026-06-04,84505-5ZU-100,6.0,7.0,19.071428571428573,21.428571428571427,17.82142857142857,True,Girls,G dress,G SL dress,Dress,11.82142857142857
2026-06-08,58660-4SK-S,1.0,0.0,17.071428571428573,5.714285714285714,12.80357142857143,True,Kids Unders,U G underwear,U G unders bottom,Underwear,11.80357142857143
2026-05-21,43205-5HC-110,24.0,0.0,13.714285714285714,16.285714285714285,12.214285714285714,True,Girls,G short,G k short,Short,11.785714285714286
2026-05-25,84434-65Z-130,27.0,0.0,10.535714285714286,20.285714285714285,15.214285714285714,True,Kids Unisex Sleep,S KU SJ,S KU SJ print,Sleep,11.785714285714286
2026-05-21,84460-5ZU-110,27.0,0.0,20.25,20.285714285714285,15.214285714285714,True,Girls,G dress,G SL dress,Dress,11.785714285714286
2026-05-22,81346-5HP-120,18.0,0.0,7.357142857142857,8.285714285714286,6.214285714285715,True,Kids Unisex,KU short,KU k short,Short,11.785714285714285
2026-05-18,83000-67K-50,15.0,0.0,4.25,4.285714285714286,3.2142857142857144,True,Baby Apparel,Bby 1pc,Bby SL 1pc,1pc,11.785714285714285
2026-05-18,84306-6AG-75,15.0,0.0,4.285714285714286,3.857142857142857,3.2142857142857144,True,Baby Sleepwear,BS footless sleeper,BS footless print,Sleep,11.785714285714285
2026-05-20,67377-3KM-130,5.0,50.0,5.714285714285714,3.7142857142857144,16.785714285714285,True,Girls,G pant,G k pant,Pant,11.785714285714285
2026-05-26,84091-5KM-130,18.0,0.0,5.714285714285714,8.285714285714286,6.214285714285715,True,Kids Unisex Sleep,S KU LJ,S KU LJ print,Sleep,11.785714285714285
2026-06-05,58660-4ON-S,13.0,31.0,11.75,22.714285714285715,24.785714285714285,True,Kids Unders,U G underwear,U G unders bottom,Underwear,11.785714285714285
2026-05-17,84460-6GW-110,20.0,0.0,10.964285714285714,7.428571428571429,8.223214285714285,True,Girls,G dress,G SL dress,Dress,11.776785714285715
2026-05-25,83884-3WG-S/M,1.0,48.0,1.0357142857142858,0.8571428571428571,12.776785714285715,True,Collab Accessories,CA non clothing,CA nc misc,Collab Access,11.776785714285715
2026-05-29,58663-4SX-M,17.0,0.0,6.964285714285714,6.285714285714286,5.223214285714286,True,Kids Unders,U B underwear,U B unders bottom,Underwear,11.776785714285715
2026-06-08,81718-68I-120,1.0,0.0,17.035714285714285,1.1428571428571428,12.776785714285714,True,Girls,G dress,G SL dress,Dress,11.776785714285714
2026-05-23,82248-4YJ-130,3.0,53.0,2.0357142857142856,1.4285714285714286,14.776785714285714,True,Kids Unisex,KU top,KU LS top,Top,11.776785714285714
2026-05-22,82677-GK3-120,4.0,44.0,6.357142857142857,4.571428571428571,15.767857142857142,True,Girls,G top,G SS top,Top,11.767857142857142
2026-05-24,83401-4OU-75,2.0,48.0,2.357142857142857,2.0,13.767857142857142,True,Baby Sleepwear,BS footless sleeper,BS footless print,Sleep,11.767857142857142
2026-05-14,81351-PM7-120,1.0,47.0,1.3571428571428572,0.2857142857142857,12.767857142857142,True,Boys,B pant,B w pant,Pant,11.767857142857142
2026-05-25,65249-2KV-S,4.0,46.0,5.678571428571429,5.428571428571429,15.758928571428571,True,Collab Accessories,CA underwear,CA G underwear,Underwear,11.758928571428571
2026-06-07,58663-4T4-M,1.0,28.0,7.678571428571429,4.0,12.758928571428571,True,Kids Unders,U B underwear,U B unders bottom,Underwear,11.758928571428571
2026-05-14,50763-4SJ-M,2.0,41.0,4.678571428571429,1.2857142857142858,13.758928571428571,True,Kids Unders,U B underwear,U B unders bottom,Underwear,11.758928571428571
2026-06-06,50763-4SJ-S,2.0,29.0,8.678571428571429,7.285714285714286,13.758928571428571,True,Kids Unders,U B underwear,U B unders bottom,Underwear,11.758928571428571
2026-06-07,84460-6GW-120,2.0,2.0,17.678571428571427,11.714285714285714,13.75892857142857,True,Girls,G dress,G SL dress,Dress,11.75892857142857
2026-05-18,58662-4SU-M,5.0,40.0,9.0,3.142857142857143,16.75,True,Kids Unders,U B underwear,U B unders bottom,Underwear,11.75
2026-05-24,81339-3LS-140,1.0,48.0,0.8928571428571429,1.0,12.75,True,Kids Unisex Sleep,S KU SJ,S KU SJ print,Sleep,11.75
2026-05-22,84416-5K5-120,14.0,0.0,2.0714285714285716,3.0,2.25,True,Kids Unisex,KU top,KU LS top,Top,11.75
2026-05-20,84306-1WC-70,17.0,0.0,4.571428571428571,7.0,5.25,True,Baby Sleepwear,BS footless sleeper,BS footless print,Sleep,11.75
2026-05-20,84662-1NV-110,23.0,0.0,11.357142857142858,15.0,11.25,True,Girls,G dress,G SS dress,Dress,11.75
2026-05-24,45346-5HB-120,35.0,0.0,23.892857142857142,31.0,23.25,True,Girls,G short,G k short,Short,11.75
2026-05-19,82778-5HO-130,17.0,0.0,5.892857142857143,7.0,5.25,True,Boys,B swimwear,B swim rash guard,Swim,11.75
2026-05-24,84434-66I-120,29.0,0.0,10.892857142857142,23.0,17.25,True,Kids Unisex Sleep,S KU SJ,S KU SJ print,Sleep,11.75
2026-05-19,84130-461-110,17.0,0.0,4.928571428571429,7.0,5.25,True,Girls,G dress,G SL dress,Dress,11.75
