Candidate,Velocity,SlotTier,RequiredSlotsTotal
hybrid_5pct,A,GIRSA,74.80000000000001
hybrid_5pct,B,GIRSB,74.80000000000001
hybrid_5pct,AA,BSLIAA,69.30000000000001
hybrid_5pct,C,COLSC,64.9
hybrid_5pct,A,BAPXA,63.8
hybrid_5pct,B,GIRXB,63.8
hybrid_5pct,AA,GIRLAA,62.7
hybrid_5pct,A,BSLIA,61.60000000000001
hybrid_5pct,AA,BOYMAA,60.50000000000001
hybrid_5pct,B,GIRLB,59.400000000000006
hybrid_5pct,C,CSLSC,57.2
hybrid_5pct,AA,BAPXAA,56.1
hybrid_5pct,B,GIRMB,56.1
hybrid_5pct,AA,KUSSAA,54.900000000000006
hybrid_5pct,A,GIRXA,53.900000000000006
hybrid_5pct,C,COLMC,52.8
hybrid_5pct,C,COLXC,51.7
hybrid_5pct,AA,GIRXAA,49.50000000000001
hybrid_5pct,B,BAPXB,48.400000000000006
hybrid_5pct,A,BOYSA,47.3
hybrid_5pct,AA,KNIMAA,42.900000000000006
hybrid_5pct,A,KUSMA,41.8
hybrid_5pct,AA,BOYSAA,41.8
hybrid_5pct,AA,KUSLAA,41.7
hybrid_5pct,A,KUSSA,39.6
hybrid_5pct,C,CSLXC,38.5
hybrid_5pct,A,BOYLA,37.400000000000006
hybrid_5pct,C,KUNLC,36.3
hybrid_5pct,A,BOYXA,35.2
hybrid_5pct,AA,KNISAA,35.2
hybrid_5pct,B,KUSLB,35.2
hybrid_5pct,B,KUSXB,34.1
hybrid_5pct,AA,BOYLAA,33.0
hybrid_5pct,B,BSLIB,33.0
hybrid_5pct,A,BOYMA,31.9
hybrid_5pct,C,CSLMC,31.9
hybrid_5pct,B,BOYXB,30.800000000000004
hybrid_5pct,B,ASLLB,29.700000000000003
hybrid_5pct,B,KNIMB,29.700000000000003
hybrid_5pct,AA,KUNLAA,28.6
hybrid_5pct,B,BOYLB,28.6
hybrid_5pct,B,BOYSB,27.500000000000004
hybrid_5pct,B,CSLLB,27.500000000000004
hybrid_5pct,A,KUSLA,26.4
hybrid_5pct,A,KUSXA,26.4
hybrid_5pct,AA,KUNMAA,26.4
hybrid_5pct,AA,KUNSAA,26.4
hybrid_5pct,B,KUSMB,26.4
hybrid_5pct,B,KUSSB,26.4
hybrid_5pct,A,COLSA,25.3
hybrid_5pct,A,KNISA,25.3
hybrid_5pct,A,KNIXA,25.3
hybrid_5pct,B,BOYMB,24.200000000000003
hybrid_5pct,C,ASLLC,24.200000000000003
hybrid_5pct,A,BSLXA,23.1
hybrid_5pct,AA,KUSXAA,23.1
hybrid_5pct,C,ASLMC,23.1
hybrid_5pct,C,CSLIC,23.1
hybrid_5pct,A,CSLMA,22.0
hybrid_5pct,A,KNILA,22.0
hybrid_5pct,A,KNIMA,20.9
