Date,remaining_volume_units,units_shipped_goal,shipped_units_powerbi,forecasted_demand_units,ops_imf_plan_forecasted_units,actual_demand_units,percentage_demand_vs_forecast,plan_vs_actual_demand_pct,powerbi_vs_actual_demand_pct,kpi_forecasted_demand_units,kpi_minus_actual_demand_units
2025-05-16,5210.988100891396,15000,11527,28585.99134097758,,28586.0,1.0000003029113917,,0.4032393479325544,28585.99134097758,-0.00865902242003358
2025-05-17,22269.988100891394,15000,15236,26675.03132804872,,26675.0,0.9999988255665632,,0.5711715089034677,26675.03132804872,0.03132804872075212
2025-05-18,33708.988100891394,28000,24244,31045.003118718436,,31045.0,0.9999998995420157,,0.7809309067482686,31045.003118718436,0.003118718435871415
2025-05-19,40509.988100891394,32000,26188,21813.03081347603,,21813.0,0.9999985873821802,,1.2005684683445652,21813.03081347603,0.030813476030743914
2025-05-20,36134.988100891394,26000,27656,26401.019700727837,,26401.0,0.9999992537891317,,1.047536078178857,26401.019700727837,0.019700727836607257
2025-05-21,34879.988100891394,24000,22644,23307.98566561729,,23308.0,1.0000006149987783,,0.971511927235284,23307.98566561729,-0.014334382711240323
2025-05-22,35543.988100891394,23000,21907,21023.009883324932,,21023.0,0.9999995298805934,,1.0420491842267992,21023.009883324932,0.009883324932161486
2025-05-23,34659.988100891394,20000,20408,39337.01485954663,,39337.0,0.9999996222502728,,0.5187990949996186,39337.01485954663,0.014859546630759723
2025-05-24,53588.988100891394,20000,23185,35377.991905825846,,35378.0,1.0000002287912264,,0.6553507829724687,35377.991905825846,-0.00809417415439384
2025-05-25,65781.9881008914,32000,24258,55150.01987302188,,55150.0,0.9999996396552181,,0.4398549410698096,55150.01987302188,0.019873021883540787
2025-05-26,96673.9881008914,36000,39114,52176.07165138491,,52176.0,0.9999986267386056,,0.749655013799448,52176.07165138491,0.07165138491109246
2025-05-27,109735.9881008914,32000,39399,11481.989928626046,,11482.0,1.0000008771453395,,3.4313708413168436,11481.989928626046,-0.010071373953906004
2025-05-28,81818.9881008914,30000,39857,25807.0,,8879.0,0.34405393885379937,,4.488906408379322,8879.00839068755,0.008390687549763243
2025-05-29,50840.988100891394,24000,25906,8736.000493019692,,8736.0,0.9999999435645989,,2.965430402930403,8736.000493019692,0.0004930196919303853
2025-05-30,33670.988100891394,20000,18166,8027.005140608151,,8027.0,0.9999993595857906,,2.263111997010091,8027.005140608151,0.0051406081511231605
2025-05-31,23531.988100891394,14000,15307,9552.997349612848,,9553.0,1.0000002774403733,,1.6023238773160264,9552.997349612848,-0.0026503871522436384
2025-06-01,17777.988100891394,23000,22323,11569.98492596127,,11570.0,1.000001302857249,,1.9293863439930856,11569.98492596127,-0.015074038730745087
2025-06-02,11363.0,10000,14790,9930.0063508655,,9930.0,0.9999993604369145,,1.4894259818731117,9930.0063508655,0.006350865500280634
2025-06-03,6503.0,10000,11588,9603.004894562688,,9603.0,0.9999994903092583,,1.2067062376340727,9603.004894562688,0.004894562687695725
2025-06-04,4518.0,7000,9285,10940.008769734464,,10940.0,0.9999991983795764,,0.8487202925045704,10940.008769734464,0.008769734464294743
2025-06-05,6173.0,10000,10532,9732.991477502066,,9733.0,1.0000008756298568,,1.0820918524607006,9732.991477502066,-0.008522497933881823
2025-06-06,5374.0,10000,6885,9299.006884491755,,9299.0,0.9999992596530102,,0.7404021937842779,9299.006884491755,0.006884491755045019
2025-06-07,7788.0,10000,7183,10693.991474565875,,10694.0,1.0000007972172174,,0.6716850570413316,10693.991474565875,-0.008525434124749154
2025-06-08,11299.0,15000,16934,12833.984296630411,,12834.0,1.0000012235771234,,1.3194639239520025,12833.984296630411,-0.015703369588663918
2025-06-09,7199.0,11000,12488,11291.002179294797,,11291.0,0.9999998069883644,,1.106013639181649,11291.002179294797,0.0021792947973153787
2025-06-10,9044.0,10000,12080,10029.003945734223,,10029.0,0.9999996065676867,,1.2045069299032805,10029.003945734223,0.00394573422272515
2025-06-11,6993.0,8000,10034,9839.993493709297,,9840.0,1.000000661208842,,1.0197154471544716,9839.993493709297,-0.006506290703327977
2025-06-12,6799.0,10000,9585,8573.006478866027,,8573.0,0.9999992442714183,,1.1180450250787355,8573.006478866027,0.006478866027464392
2025-06-13,5787.0,6500,6258,8471.994960924976,,8472.0,1.0000005947920232,,0.7386685552407932,8471.994960924976,-0.0050390750238875626
2025-06-14,8001.0,9000,9392,15616.005007313515,,15616.0,0.9999996793473418,,0.6014344262295082,15616.005007313515,0.0050073135153070325
2025-06-15,14225.0,0,0,15448.98948399511,,15449.0,1.0000006806920867,,0.0,15448.98948399511,-0.010516004889723263
2025-06-16,29674.0,25000,24748,17205.005694834792,,17205.0,0.9999996690012841,,1.438419064225516,17205.005694834792,0.005694834791938774
2025-06-17,22131.0,20000,19693,10125.006946688298,,10125.0,0.9999993139077993,,1.9449876543209876,10125.006946688298,0.006946688297830406
2025-06-18,12563.0,15000,15511,9739.008376279024,,9739.0,0.9999991399248568,,1.592668651812301,9739.008376279024,0.008376279023650568
2025-06-19,6791.0,10000,10944,10461.98641736853,,10462.0,1.0000012982841813,,1.0460714968457274,10461.98641736853,-0.013582631470853812
2025-06-20,6309.0,11000,6682,9241.011105808484,,9241.0,0.9999987982041838,,0.7230819175413916,9241.011105808484,0.011105808483989676
2025-06-21,8868.0,15000,8178,40345.97118341288,,40346.0,1.000000714237042,,0.2026966737718733,40345.97118341288,-0.028816587117034942
2025-06-22,41036.0,30000,33153,39573.99919259667,,39574.0,1.000000020402369,,0.8377470056097438,39573.99919259667,-0.0008074033321463503
2025-06-23,47457.0,40000,41129,35723.027656108105,,35723.0,0.9999992258184729,,1.1513310752176469,35723.027656108105,0.027656108104565646
2025-06-24,42051.0,25000,26143,24399.97985191503,,24400.0,1.000000825741869,,1.0714344262295081,24399.97985191503,-0.020148084968241164
2025-06-25,40308.0,25000,23676,38369.01113871518,,38369.0,0.9999997096950156,,0.6170606479188928,38369.01113871518,0.011138715177366976
2025-06-26,55001.0,24000,24350,35768.99189338724,,35769.0,1.0000002266379993,,0.6807570801532052,35768.99189338724,-0.00810661276045721
2025-06-27,66420.0,22000,19673,43609.999715502294,,43610.0,1.0000000065236805,,0.45111213024535657,43609.999715502294,-0.0002844977061613463
2025-06-28,90357.0,20000,20061,35119.02408793864,,35119.0,0.9999993141056944,,0.5712292491244056,35119.02408793864,0.02408793864015024
2025-06-29,105415.0,35000,36717,40736.014219899655,,40736.0,0.9999996509256016,,0.9013403377847604,40736.014219899655,0.01421989965456305
2025-06-30,109434.0,40000,45095,39887.99581844107,,39888.0,1.0000001048325151,,1.1305405134376254,39887.99581844107,-0.0041815589283942245
2025-07-01,104227.0,38000,42223,28411.035564616755,,28413.0,1.0000691433924953,,1.4860451201914617,28411.035564616755,-1.9644353832445631
2025-07-02,90417.0,25000,29692,21546.032798326432,,21546.0,0.9999984777556621,,1.378074816671308,21546.032798326432,0.03279832643238478
2025-07-03,82271.0,40000,36733,16593.994996296908,,16594.0,1.0000003015369774,,2.2136314330480897,16593.994996296908,-0.005003703092370415
2025-07-04,62132.0,35000,33327,41200.95841860795,,41201.0,1.0000010092336111,,0.8088881337831606,41200.95841860795,-0.04158139204810141
2025-07-05,70006.0,25000,23948,37100.99714080319,,37101.0,1.0000000770652282,,0.6454812538745587,37100.99714080319,-0.0028591968075488694
2025-07-06,83159.0,35000,35587,42291.97013443997,,42292.0,1.0000007061756624,,0.8414593776600775,42291.97013443997,-0.02986556002724683
2025-07-07,89864.0,40000,40966,34914.01448555227,,34914.0,0.9999995851078004,,1.1733402073666723,34914.01448555227,0.014485552266705781
2025-07-08,83812.0,35000,36928,48860.06346698544,,48860.0,0.9999987010457839,,0.7557920589439214,48860.06346698544,0.0634669854407548
2025-07-09,95744.0,25000,28608,21599.019574313832,,21599.0,0.9999990937406319,,1.324505764155748,21599.019574313832,0.01957431383198127
2025-07-10,88735.0,26000,27660,16029.003433688253,,16029.0,0.9999997857827988,,1.7256223095639154,16029.003433688253,0.00343368825269863
2025-07-11,77104.0,25000,23343,18397.009206696875,,18397.0,0.9999994995546955,,1.2688481817687667,18397.009206696875,0.009206696875480702
2025-07-12,72158.0,20000,22850,16843.00269054682,,16843.0,0.9999998402572945,,1.3566466781452236,16843.00269054682,0.002690546818485018
2025-07-13,66151.0,30000,27055,14599.015686203762,,14599.0,0.9999989255300427,,1.8532091239125967,14599.015686203762,0.015686203762015793
2025-07-14,53695.0,27000,26529,12209.002096416316,,12209.0,0.9999998282892983,,2.1729052338438857,12209.002096416316,0.0020964163159078453
2025-07-15,39375.0,21000,25645,11111.991189723616,,11112.0,1.0000007928620742,,2.3078653707703385,11111.991189723616,-0.00881027638388332
2025-07-16,24842.0,20000,18034,10131.002828435876,,10131.0,0.9999997208138302,,1.7800809396900603,10131.002828435876,0.002828435875926516
2025-07-17,16939.0,16000,16891,10697.994558641709,,10698.0,1.0000005086334884,,1.5788932510749674,10697.994558641709,-0.0054413582911365665
2025-07-18,10746.0,6000,9098,9916.992147434617,,9917.0,1.0000007918293436,,0.917414540687708,9916.992147434617,-0.007852565382563625
2025-07-19,11565.0,8000,9975,9972.997504970752,,9973.0,1.000000250178469,,1.0002005414619473,9972.997504970752,-0.0024950292481662473
2025-07-20,11563.0,16000,19622,12564.990458748078,,12565.0,1.0000007593521025,,1.5616394747313966,12564.990458748078,-0.0095412519222009
2025-07-21,4506.0,10000,12075,12685.999721037106,,12686.0,1.0000000219898235,,0.9518366703452625,12685.999721037106,-0.00027896289429918397
2025-07-22,5117.0,8000,11835,8942.998572681743,,8943.0,1.0000001596017538,,1.3233814156323382,8942.998572681743,-0.0014273182569013443
2025-07-23,2225.0,9000,10000,9509.000973629418,,9509.0,0.9999998976097046,,1.0516352928804291,9509.000973629418,0.0009736294177855598
2025-07-24,1734.0,8000,9284,7967.993670970532,,7968.0,1.000000794306538,,1.1651606425702812,7967.993670970532,-0.006329029468361114
2025-07-25,418.0,8000,4688,8210.995090496413,,8211.0,1.000000597918222,,0.5709414200462793,8210.995090496413,-0.004909503586532082
2025-07-26,3941.0,8000,7915,16150.006384120368,,16150.0,0.9999996046985855,,0.49009287925696593,16150.006384120368,0.006384120368238655
2025-07-27,12176.0,16000,19584,17003.986888735013,,17004.0,1.000000771070048,,1.1517290049400142,17003.986888735013,-0.01311126498694648
2025-07-28,9596.0,16000,16857,8702.007028146729,,8702.0,0.999999192353361,,1.9371408871523788,8702.007028146729,0.0070281467287713895
2025-07-29,1441.0,10000,8621,8552.999129387852,,8553.0,1.0000001017902767,,1.0079504267508477,8552.999129387852,-0.0008706121479917783
