Division,Department,Class,SKUs,FDUnits,MLUnits,RecentUnits,MLSelectedSKUs
Baby Apparel,Bby dress,Bby LS dress set,84,1228,1575.732418578652,408.86701013375307,30
Baby Apparel,Bby outerwear,Bby jkt,98,1216,1733.7308102224292,561.0712083341069,33
Baby Sleepwear,BS footless sleeper,BS footless stripe,55,1081,1327.5687224924561,923.6468142381344,17
Adult Apparel,O womens apparel,O womens apparel swim,22,958,1029.4080532931896,477.69820804601494,16
Collab Apparel,C Kids Unisex,C KU top,61,901,1282.0016179882107,555.0121240108444,20
Collab Apparel,C Kids Unisex,C KU jkt/vest,42,849,1145.0587607216817,362.5756059040276,16
Baby Apparel,Bby dress,Bby SS dress set,71,785,1379.7926990574622,515.5068942231729,18
Adult Sleep,S AU sleepwear,S AU LJ bottom,166,769,1356.4224193096634,404.98919616686504,27
Baby Apparel,Bby dress,Bby LS dress,126,728,1341.6531390150842,258.6017189168432,25
Kids Unisex,KU short,KU w short,40,704,1003.3470908379242,430.194986951637,13
Kids Unisex,KU outerwear,KU jkt,104,700,1299.3167037422609,652.9269266747663,20
Collab Apparel,C Baby,C Bby set,51,668,984.0477038233226,300.04585568795864,16
Girls,G sweater,G swtr pullover,74,659,990.1869291343195,252.7849979665112,18
Girls,G sweater,G swtr cardigan,52,628,1010.5664567178095,276.7789718866307,14
Collab Apparel,C Girl,C G swimwear,53,601,1007.6359756130498,521.0812518005745,16
Baby Apparel,Bby bundle,Bby bundle misc,59,592,956.5660740761516,296.65276846693166,18
Baby Apparel,Bby sweater,Bby swtr cardigan,50,590,839.7344709392958,256.90517530632974,17
Baby Apparel,Bby top,Bby LS top,27,579,678.0846749654205,133.54221848470536,17
Collab Apparel,C Baby/Toddler,C BT top,35,578,688.6236418599143,275.8095183949087,17
Baby Accessories,BA sock,BA sock misc,21,564,617.4939913706226,269.9927974445767,12
Collab Apparel,C Baby/Toddler,C BT set,49,562,843.2755468937943,280.4144224805882,16
Adult Sleep,S AU sleepwear,S AU SJ,42,545,872.5831171025401,439.404795122996,14
Kids Unisex Sleep,S KU LJ,S KU LJ stripe,33,529,711.2298256566197,308.7709371134567,13
Baby Sleepwear,BS 1pc,BS misc,25,517,645.8805985972165,263.4489863754532,12
Boys,B swimwear,B swim cover up,8,509,509.42454315240633,174.01690176409883,8
Kids Unisex,KU top,KU SL top,16,478,539.5103678076061,304.40839640070766,11
Collab Accessories,CA underwear,CA BT underwear,5,392,391.82656003639374,178.86416922270882,5
Girls,G sets,G LS set,66,373,739.143796955849,254.72390494995523,12
Baby Sleepwear,BS footed sleeper,BS footed print,29,352,520.9476738042939,175.71344537461232,8
